1,s0,85,c0,1,s0,11,c0,14,c1,76,c2,50,c3,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,73,c0,1,s0,12,c0,48,c1,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,36,m0,1,c0,1,s0,5,s1,76,s2,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,53,c0,1,s0,3,c0,44,c1,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,101,s1,135,c1,1,s1,5,s2,9,c2,1,s2,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,71,m0,1,c0,1,s0,8,s1,88,s2,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,136,c0,14,c1,35,c2,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,85,m0,1,c0,10,c1,50,c2,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,71,c0,1,s0,14,c0,14,c1,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,109,m0,1,c0,10,c1,98,c2,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,133,m0,1,c0,14,c1,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,86,c0,1,s0,5,c0,18,c1,17,c2,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,77,m0,1,c0,1,s0,9,s1,17,s2,76,m2,1,c2,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,82,m0,1,c0,5,c1,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,112,m0,1,c0,1,s0,25,s1,29,s2,9,s3,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,251,m0,1,c0,15,c1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,108,m0,1,c0,9,c1,53,c2,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,136,m0,1,c0,8,c1,108,c2,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,236,m0,1,c0,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,125,c0,1,s0,1,c0,7,c1,25,c2,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,34,m0,1,c0,1,s0,24,c0,1,s0,7,c0,1,s0,82,m0,1,c0,1,s0,7,s1,13,c1,1,s1,13,c1,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,37,c0,1,s0,18,s1,2,c1,54,c2,60,c3,55,c4,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,41,m0,1,c0,1,s0,6,s1,22,c1,1,s1,11,c1,1,s1,7,m1,1,c1,9,c2,6,c3,6,c4,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,47,m0,1,c0,1,s0,11,s1,55,m1,1,c1,1,s1,23,c1,1,s1,11,c1,16,c2,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,71,m0,1,c0,14,c1,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,102,m0,1,c0,1,s0,20,s1,19,s2,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,72,m0,1,c0,8,c1,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,91,m0,1,c0,6,c1,27,c2,74,c3,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,71,c0,30,c1,138,c2,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,49,m0,1,c0,1,s0,6,m1,1,c1,1,s1,16,m1,1,c1,1,s1,46,s2,106,m2,1,c2,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,59,m0,1,c0,8,c1,25,c2,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,81,m0,1,c0,21,c1,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,72,m0,1,c0,1,s0,66,s1,82,s2,29,s3,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,87,m0,1,c0,3,c1,34,c2,121,c3,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,77,m0,1,c0,1,s0,26,s1,85,m1,1,c1,1,s1,29,s2,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,88,m0,1,c0,14,c1,26,c2,47,c3,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,162,m0,1,c0,9,c1,123,c2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,39,c0,121,c1,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,49,m0,1,c0,8,c1,37,c2,48,c3,24,c4,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,127,c0,1,s0,17,s1,23,s2,77,c2,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,117,c0,1,s0,2,c0,1,s0,23,c0,1,s0,25,s1,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,150,m0,1,c0,25,c1,53,c2,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,82,c0,1,s0,6,c0,1,s0,164,m0,1,c0,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,104,m1,1,c1,82,c2,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,79,s1,90,s2,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,112,m0,1,c0,10,c1,93,c2,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,33,m0,1,c0,1,s1,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,104,m0,1,c0,8,c1,37,c2,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,77,m0,1,c0,12,c1,40,c2,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,85,s1,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,263,c0,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,57,m0,1,c0,1,s0,1,s1,10,m1,1,c1,1,s1,22,s2,11,m2,1,c2,11,c3,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,98,m0,1,c0,1,s0,13,s1,28,m1,1,c1,1,m1,1,c1,1,s1,2,s2,38,c2,1,s2,12,c2,36,c3,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,59,m0,1,c0,7,c1,31,c2,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,120,m0,1,c0,51,c1,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,114,m0,1,c0,9,c1,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,85,c0,1,s0,1,c0,9,c1,26,c2,60,c3,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,44,m0,1,c0,14,c1,33,c2,5,c3,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,68,m0,1,c0,44,c1,118,c2,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,81,m0,1,c0,10,c1,72,c2,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,51,m0,1,c0,8,c1,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,103,m0,1,c0,12,c1,73,c2,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,17,c0,1,s0,10,c0,1,s0,17,s1,39,m1,1,c1,1,s1,21,c1,1,s1,92,c1,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,75,m0,1,c0,9,c1,108,c2,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,35,m0,1,c0,1,s0,13,s1,34,s2,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,112,m0,1,c0,7,c1,66,c2,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,105,m0,1,c0,25,c1,26,c2,22,c3,51,c4,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,51,c0,1,s0,11,s1,3,c1,1,s1,57,c1,1,s1,1,c1,1,s1,42,c1,1,s1,26,c1,1,s1,4,s2,56,c2,2,s2,40,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,85,c0,6,c1,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,65,m0,1,c0,1,s0,9,s1,67,c1,2,s1,12,c1,1,s1,101,c1,1,s1,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,78,m0,1,c0,1,s0,29,s1,48,s2,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,86,m0,1,c0,1,s0,7,s1,185,m1,1,c1,1,s1,9,c1,1,s1,7,c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,80,m0,1,c0,9,c1,97,c2,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,138,c0,7,c1,51,c2,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,103,m0,1,c0,10,c1,85,c2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,24,m0,1,c0,1,s0,11,s1,33,m1,1,c1,1,s1,55,c1,1,s1,12,c1,1,s1,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,61,m0,1,c0,1,s0,15,s1,24,m1,1,c1,1,s1,9,m1,1,c1,9,c2,57,c3,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,259,c0,14,c1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,87,m0,1,c0,15,c1,51,c2,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,36,c0,1,s0,13,c1,1,s1,42,m1,1,c1,1,s1,50,m1,1,c1,1,s1,7,c1,1,s1,4,c1,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,102,m0,1,c0,1,s0,21,s1,146,m1,1,c1,2,s1,7,s2,6,c2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,107,m0,1,c0,1,s0,32,s1,89,m1,1,c1,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,66,m0,1,c0,1,s0,6,s1,17,m1,1,c1,1,s1,50,c1,1,s1,72,c2,1,s2,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,140,m0,1,c0,9,c1,36,c2,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,102,m0,1,c0,1,s0,70,s1,55,m1,1,c1,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,88,m0,1,c0,48,c1,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,121,m0,1,c0,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,11,c0,1,s0,24,c0,3,c1,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,119,s1,26,c1,1,s1,2,c1,1,s1,10,c1,1,s1,18,c1,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,119,m0,1,c0,1,s0,42,m0,1,c0,58,c1,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,49,m0,1,c0,21,c1,92,c2,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,59,m0,1,c0,1,s0,25,s1,50,m1,1,c1,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,37,m0,1,c0,10,c1,60,c2,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,93,m0,1,c0,14,c1,57,c2,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,63,c0,5,c1,28,c2,68,c3,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,116,s1,7,s2,3,c2,69,c3,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,69,m0,1,c0,1,s0,80,s1,127,c1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,50,c0,56,c3,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,94,m0,1,c0,1,s0,9,s1,41,s2,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,101,m0,1,c0,129,c1,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,66,m0,1,c0,1,s0,3,s1,186,m1,1,c1,3,s1,3,s2,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,50,c0,2,s0,23,s1,110,s2,82,m2,1,c2,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,53,c0,10,c1,120,c2,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,101,m0,1,c0,134,c1,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,85,m0,1,c0,1,c1,74,c2,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,121,m0,1,c0,1,s0,4,s1,140,c1,1,s1,23,c1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,95,m0,1,c0,5,c1,56,c2,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,84,m0,1,c0,13,c1,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,56,m0,1,c0,78,c1,14,c2,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,158,m0,1,c0,9,c1,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,117,m0,1,c0,54,c1,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,37,m0,1,c0,8,c1,143,c2,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s0,107,m0,1,c0,13,c1,21,c2,48,c3,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
